Genre,Language,Nudity,Rating,Sex,Title,Violence,Release_Date,Production_Budget,Domestic_Gross,Worldwide_Gross
Drama,Heavy,Medium,R,Heavy,Baby Boy,Medium,6/27/2001,16000000,28734552,28734552
Action Adventure,Heavy,Medium,PG-13,Light,The Fast And The Furious,Medium,6/22/2001,38000000,144512310,206512310
Action-Adventure,Heavy,Medium,R,Medium,Kiss Of The Dragon,Heavy,7/6/2001,25000000,36833473,36833473
Comedy,Heavy,Light,R,Light,Ghost World,Light,7/20/2001,5500000,6217849,8761608
Thriller,Heavy,None,R,Light,The Score,Light,7/13/2001,68000000,71069884,113542091
Comedy,Heavy,Medium,PG-13,Medium,Pootie Tang,Light,6/29/2001,3500000,3293258,3293258
Film Noir,Medium,Medium,R,Medium,The Deep End,Heavy,8/8/2001,3000000,8823109,9981635
Comedy,Heavy,None,PG-13,Light,Legally Blonde,Light,7/13/2001,18000000,96493426,141809235
Science Fiction,Medium,None,PG-13,None,Jurassic Park Iii,Medium,7/18/2001,93000000,181166115,365900000
Comedy,Heavy,Medium,R,Heavy,Hedwig And The Angry Inch,Light,7/20/2001,6000000,3067312,3740030
Action-Adventure,Light,Light,PG-13,None,Lara Croft: Tomb Raider,Medium,6/15/2001,94000000,131144183,273330185
Comedy,Medium,Light,PG-13,Medium,The Animal,Light,6/1/2001,22000000,55762229,55762229
Thriller,Heavy,Medium,R,Light,Sexy Beast,Heavy,6/13/2001,4300000,6946056,10158355
Action-Adventure,Heavy,Medium,R,Medium,Swordfish,Heavy,6/8/2001,80000000,69772969,147080413
Comedy,Heavy,Light,PG,Medium,Dr. Dolittle 2,Light,6/22/2001,72000000,112950721,176101721
Animated Action Adventure,None,None,PG,None,Atlantis: The Lost Empire,Medium,6/8/2001,90000000,84052762,186049020
Comedy,Heavy,None,PG-13,Light,Evolution,Medium,6/8/2001,80000000,38311134,98341932
Drama,Medium,Medium,PG-13,Light,Songcatcher,Light,6/15/2001,1800000,3050934,3050934
Musical,None,Light,PG-13,Medium,Moulin Rouge,Light,5/18/2001,53000000,57386369,179208843
Drama,Heavy,Light,R,Light,Angel Eyes,Medium,5/18/2001,38000000,24044532,29544532
War Movie,Heavy,Light,PG-13,Light,Pearl Harbor,Medium,5/25/2001,151500000,198539855,449239855
Thriller,Light,None,PG-13,Light,Brigham City,Medium,4/6/2001,1000000,852206,852206
Horror,Heavy,Medium,R,Light,The Forsaken,Heavy,4/27/2001,5000000,6755271,6755271
Drama,Heavy,Medium,R,Heavy,Amores Perros,Heavy,3/30/2001,2000000,5383834,20883834
Action-Adventure,Medium,Light,PG-13,None,The Mummy Returns,Heavy,5/4/2001,98000000,202007640,435040395
Drama,Light,Light,PG-13,None,Driven,Medium,4/27/2001,72000000,32616869,54616869
Comedy,Heavy,Medium,R,Heavy,Freddy Got Fingered,Heavy,4/20/2001,15000000,14249005,14249005
Thriller,Heavy,Light,R,Light,Beautiful Creatures,Heavy,2/14/2013,50000000,19452138,60282876
Drama,Heavy,None,R,Medium,Panic,Medium,12/1/2000,1000000,779137,1425707
Comedy,Medium,None,PG,Light,Kingdom Come,Light,4/11/2001,7000000,23247539,23393939
Comedy,Medium,Light,PG,Light,Crocodile Dundee In Los Angeles,Light,4/20/2001,25000000,25590119,39393111
Comedy,Heavy,Medium,R,Medium,Tomcats,Light,3/30/2001,11000000,13558739,13558739
Science Fiction,None,None,G,None,Pokemon 3: The Movie,Medium,4/6/2001,3000000,17052128,68452128
Drama,Heavy,None,R,Light,Blow,Medium,4/6/2001,30000000,52990775,83282296
Comedy,Heavy,Light,PG-13,Light,Joe Dirt,Light,4/11/2001,16000000,27087695,30987695
Comedy,Medium,None,PG-13,Light,Just Visiting,Medium,4/6/2001,40000000,4777007,16172200
Suspense,Medium,None,R,None,Along Came A Spider,Medium,4/6/2001,28000000,74058698,105159085
Comedy & Action,Medium,None,PG-13,None,Josie And The Pussycats,Light,4/11/2001,22000000,14252830,14252830
Animated Fairy Tale,Light,None,PG,None,Shrek,Light,5/18/2001,50000000,267655011,491812794
Comedy,Heavy,Medium,R,Medium,The Brothers,Light,3/23/2001,6000000,27457409,27958191
Thriller,Heavy,Medium,R,Medium,Exit Wounds,Heavy,3/16/2001,33000000,51758599,79958599
Drama,Light,None,R,Light,Enemy At The Gates,None,3/16/2001,85000000,51396781,96971293
Comedy,Heavy,Light,PG-13,Light,Someone Like You,None,3/30/2001,23000000,27338033,38684906
Comedy,Light,None,PG,None,Spy Kids,Light,3/30/2001,35000000,112692062,197692062
Comedy,Heavy,Light,PG-13,Medium,Heartbreakers,Light,3/23/2001,38000000,40334024,57753825
Comedy,Medium,Medium,PG-13,Light,Company Man,Light,3/9/2001,12000000,146028,622273
Romantic Comedy,Heavy,Light,R,Light,The Mexican,Medium,3/2/2001,40000000,66808615,145238250
Comedy,Heavy,Medium,PG-13,Light,Get Over It,Light,3/9/2001,10000000,11560259,19860259
Horror,Light,None,R,None,Hannibal,Heavy,2/9/2001,87000000,165092266,350100280
Thriller,Heavy,Heavy,R,Heavy,The Tailor Of Panama,Light,3/30/2001,18000000,13491653,27491653
Thriller,Heavy,Medium,R,Medium,3000 Miles To Graceland,Heavy,2/23/2001,62000000,15738632,18708848
Science Fiction,Medium,Light,PG-13,Medium,Monkeybone,Medium,2/23/2001,75000000,5409517,5409517
Comedy,Heavy,None,PG-13,Light,Down To Earth,Light,2/16/2001,30000000,64172251,71172251
Comedy,Heavy,Medium,PG-13,Medium,Head Over Heels,Light,2/2/2001,14000000,10397365,10397365
Comedy,Heavy,Medium,PG-13,Medium,Saving Silverman,Medium,2/9/2001,22000000,19351569,25873142
Horror,Heavy,Medium,R,Light,Valentine,Heavy,2/2/2001,10000000,20384136,20384136
Romantic Tragedy,Light,Medium,PG-13,Medium,Sweet November,Light,2/16/2001,40000000,25288103,65754228
Thriller,Heavy,Medium,R,Light,15 Minutes,Medium,3/9/2001,42000000,24375436,56331864
Film Noir,Heavy,Light,R,Light,Memento,Heavy,3/16/2001,5000000,25544867,39723096
Comedy,Light,None,PG,None,See Spot Run,Light,3/2/2001,16000000,33357476,43057552
Martial Arts,Light,Light,PG-13,Light,"Crouching Tiger, Hidden Dragon",Medium,12/8/2000,15000000,128067808,213514672
Comedy,Heavy,Light,PG-13,None,The Wedding Planner,Light,1/26/2001,28000000,60400856,94728529
Action,Heavy,Light,PG-13,Light,Double Take,Heavy,1/12/2001,24000000,29823162,29823162
Thriller,Medium,Light,PG-13,Light,Antitrust,Medium,1/12/2001,30000000,10965209,17865209
Western,Medium,Medium,R,Medium,The Claim,Medium,12/29/2000,13000000,622023,1375635
Supernatural Horror,Medium,Medium,R,Medium,Dracula 2000,Heavy,12/22/2000,28000000,33000377,33000377
Action,Heavy,None,PG-13,Light,"O Brother, Where Art Thou?",Heavy,12/22/2000,26000000,45506619,75763814
Drama,Heavy,Light,Not Yet Rated,Medium,Save The Last Dance,Medium,1/12/2001,13000000,91038276,122244329
Comedy,Heavy,Light,R,Light,An Everlasting Piece,Light,12/22/2000,4000000,75078,75078
Western,Heavy,Medium,PG-13,Medium,All The Pretty Horses,Medium,12/22/2000,45000000,15527125,18120267
Comedy,Heavy,Light,PG-13,Light,Miss Congeniality,Light,12/22/2000,45000000,106807667,213420951
Comedy,Medium,Light,PG-13,Light,What Women Want,Light,12/15/2000,65000000,182805123,374105123
Drama,Medium,Medium,PG-13,Light,Chocolat,Light,12/15/2000,25000000,71309760,152500343
Biography,Heavy,Light,R,Medium,Pollock,Light,12/15/2000,6000000,8596914,10557291
Drama,Heavy,None,PG-13,Light,Finding Forrester,None,12/19/2000,43000000,51768623,80013623
Drama,Light,Light,PG-13,None,Cast Away,Medium,12/22/2000,85000000,233632142,427230516
Comedy,Heavy,Medium,PG-13,Medium,The Family Man,Light,12/22/2000,60000000,75764085,124715863
Documentary,Medium,Heavy,NC-17,Heavy,Inside Deep Throat,None,2/11/2005,2000000,691880,691880
Action,Light,Light,PG-13,Light,Kingdom Of Heaven,Heavy,5/6/2005,110000000,47398413,218853353
Musical,Medium,Light,"PG-13 for mature thematic material involving drugs and sexuality, and for some strong language",Medium,Rent,Light,11/23/2005,40000000,29077547,31670620
Comedy,Heavy,Heavy,R,Medium,Transamerica,Light,1/20/2006,1000000,9015303,16553163
Science Fiction,Medium,Light,PG-13,Light,Harry Potter And The Goblet Of Fire,Medium,11/18/2005,150000000,290013036,896911078
Drama,Heavy,Light,R (violence and language),None,Syriana,Heavy,11/23/2005,50000000,50824620,92690959
Thriller,Heavy,Light,"R (strong disturbing violence, language and some sexuality)",Heavy,Derailed,Heavy,11/11/2005,22000000,36020063,57520063
Drama,Heavy,Medium,R,Medium,The Squid And The Whale,Light,10/5/2005,1500000,7372734,11191423
War Drama,Heavy,Heavy,"R for pervasive language, some violent images and strong sexual content",Heavy,Jarhead,Medium,11/4/2005,72000000,62647540,96947540
Biography,Medium,Light,PG-13,Light,Walk The Line,Light,11/18/2005,29000000,119519402,187707495
Science Fiction,None,None,PG,None,"The Chronicles Of Narnia: The Lion, The Witch And The Wardrobe",Medium,12/9/2005,180000000,291710957,720539572
Horror,Heavy,None,R,None,Saw Ii,Heavy,10/28/2005,5000000,87025093,152925093
Drama,Heavy,Heavy,Not Rated,Heavy,Where The Truth Lies,Heavy,10/14/2005,25000000,872142,1415656
Drama,None,None,PG-13,None,The Work And The Glory: American Zion,None,10/21/2005,6500000,2025032,2025032
Horror,Heavy,Medium,R,Light,Doom,Heavy,10/21/2005,70000000,28212337,54612337
Horror,Medium,Light,PG-13,Medium,The Fog,Medium,10/14/2005,18000000,29511112,37048526
Horror,Medium,Light,PG-13,Medium,The Fog,Medium,2/1/1980,1000000,21378361,21378361
Thriller,Heavy,Medium,R,Medium,Domino,Heavy,10/14/2005,50000000,10169202,22969202
Mystery,Heavy,Heavy,R,Heavy,"Kiss Kiss, Bang Bang",Heavy,10/21/2005,15000000,4235837,16829464
Drama,Heavy,Medium,R for strong language and sexual content,Heavy,The Weather Man,Light,10/28/2005,20000000,12482775,15466961
Drama,Heavy,Medium,R,Medium,North Country,Medium,10/21/2005,30000000,18324242,23676771
Drama,Light,Medium,R,Medium,Shopgirl,None,10/21/2005,7500000,10284523,11758418
Drama,Heavy,Light,R for sexual content and language,Medium,Junebug,Light,8/3/2005,1000000,2678010,3553253
Comedy,Medium,Light,PG-13,Light,Elizabethtown,Light,10/14/2005,54000000,26850426,50719373
Comedy,Light,None,PG,None,Zathura,Light,11/11/2005,65000000,28045540,58545540
Western,Light,Light,PG-13,None,The Legend Of Zorro,Medium,10/28/2005,80000000,45575336,141475336
Animated Comedy,None,Light,G,None,Chicken Little,Light,11/4/2005,60000000,135386665,310043823
Horror,Heavy,None,"R for strong horror violence/gore, and language",None,Venom,Heavy,9/16/2005,25000000,881745,881745
Comedy,Heavy,Medium,R,Medium,The Matador,Light,12/30/2005,10000000,12589255,17300838
Thriller,Medium,Light,PG-13,Light,Into The Blue,Medium,9/30/2005,50000000,18782227,41982227
Thriller,Heavy,Heavy,R,Medium,A History Of Violence,Heavy,9/23/2005,32000000,31493782,61477797
Drama,Light,None,PG,None,"Good Night, And Good Luck",Light,10/7/2005,7000000,31501218,56586901
Action,Heavy,Medium,R,Medium,Lord Of War,Medium,9/16/2005,42000000,24149632,60437727
Comedy,Heavy,None,PG-13,Light,The Man,Light,9/9/2005,20000000,8330720,10393696
Drama,Light,None,R,Light,Capote,Heavy,9/30/2005,7000000,28750530,49924079
Science-Fiction Adventure,Light,Light,"PG-13 for sequences of intense violence and action, and some sexual references",Light,Serenity,Medium,9/30/2005,39000000,25514517,40319440
Comedy,Medium,None,PG-13 for language and some crude humor,Light,Roll Bounce,Light,9/23/2005,10000000,17380866,17433072
Thriller,Medium,None,PG-13,None,Flightplan,Light,9/23/2005,55000000,89706988,214392904
Wildlife Adventure,None,None,PG,None,Duma,Light,9/30/2005,12000000,870067,994790
Drama,Light,Light,PG-13,None,Oliver Twist,Medium,9/23/2005,65000000,2070920,26670920
Comedy,Light,None,PG,None,Pride & Prejudice,None,11/11/2005,28000000,38372662,126549607
Comedy,Heavy,Heavy,R,Heavy,Deuce Bigalow: European Gigolo,Medium,8/12/2005,22000000,22400154,45273464
Drama,Heavy,Medium,Not Rated,Light,Dear Wendy,Heavy,9/23/2005,8000000,23106,446438
Suspense,Medium,None,"PG-13 for violence, disturbing images, some partial nudity and thematic material",None,The Skeleton Key,Light,8/12/2005,40000000,47907715,92256918
Suspense Drama,Medium,Medium,"R for language, some violent images and sexual content/nudity",Light,The Constant Gardener,Medium,8/31/2005,25500000,33579798,86301599
Comedy,Medium,Light,R,Medium,Thumbsucker,Heavy,9/16/2005,4000000,1328679,1919197
Comedy,Heavy,Light,R,Light,The Chumscrubber,Medium,8/5/2005,6800000,49526,49526
Science Fiction,Medium,Light,PG-13,Light,A Sound Of Thunder,Light,9/2/2005,80000000,1900451,6300451
Horror,Heavy,None,PG-13,None,The Cave,Medium,8/26/2005,30000000,15007991,27147991
Drama,Heavy,Light,"PG-13 for some violence including domestic abuse, and language",Light,An Unfinished Life,Light,9/9/2005,30000000,8535575,18535575
Action,Heavy,None,PG-13,Light,Underclassman,Medium,9/2/2005,25000000,5654777,5654777
Action Thriller,Light,Medium,PG-13,Light,The Transporter 2,Heavy,9/2/2005,32000000,43095856,88978458
Supernatural Horror,Light,None,PG-13,None,The Exorcism Of Emily Rose,Medium,9/9/2005,18000000,75072454,144529078
Science Fiction,Light,None,PG for some mild thematic elements and scary images,None,Mirrormask,Light,9/30/2005,4000000,864959,973613
Comedy,Light,Light,G,Light,Wallace & Gromit: The Curse Of The Were-Rabbit,Medium,10/5/2005,30000000,56068547,197593152
Drama,Light,None,PG,None,The Greatest Game Ever Played,Light,9/30/2005,25000000,15331289,15468266
Animated Comedy Adventure,None,None,G,Light,Valiant,Light,8/19/2005,35000000,19478106,64188387
Science Fiction,Medium,None,PG-13,Light,The Brothers Grimm,Heavy,8/26/2005,80000000,37899638,105299638
Comedy,Heavy,Light,PG-13,Light,Just Like Heaven,Light,9/16/2005,58000000,48318130,100687083
Comedy,Heavy,Medium,"R for sexual content, nudity and language",Medium,Wedding Crashers,Light,7/15/2005,40000000,209218368,283218368
Comedy,Heavy,Light,"PG-13 for sexual content, crude and drug-related humor, language, and comic action violence",Medium,The Dukes Of Hazzard,Medium,8/5/2005,53000000,80270227,109848461
Action,Heavy,Medium,R,Medium,Four Brothers,Heavy,8/12/2005,30000000,74494381,92494381
Thriller,Light,None,R,Light,November,Heavy,7/22/2005,250000,191862,191862
Drama,Light,Medium,R,Medium,2046,Light,8/5/2005,12000000,1442338,19287485
Comedy,Medium,Light,PG-13,Medium,Must Love Dogs,Light,7/29/2005,35000000,43894863,58405313
War Drama,Heavy,None,PG-13,Light,Stealth,Medium,7/29/2005,138000000,32116746,76416746
Documentary,Medium,Light,PG,None,My Date With Drew,None,8/5/2005,1100,181041,181041
Thriller,Medium,None,PG-13,None,Red Eye,Medium,8/19/2005,26000000,57891803,96666486
Comedy,Light,Light,PG,None,Sky High,Light,7/29/2005,35000000,63939454,83109359
Drama,Heavy,None,R,Heavy,Me And You And Everyone We Know,Medium,6/17/2005,2000000,3885134,9615464
Drama,Medium,Medium,"R for sexuality, language and some drug use",Medium,My Summer Of Love,Light,6/17/2005,1700000,1000915,4727375
Horror,Heavy,Light,R,None,Undead,Heavy,7/1/2005,750000,41196,229250
Comedy,Medium,Light,PG-13,Light,Bewitched,Light,6/24/2005,80000000,63313159,131159306
Horror Thriller,Medium,None,PG-13,None,Dark Water,Medium,7/8/2005,60000000,25473093,49473093
Comedy,Medium,Heavy,R,Medium,Broken Flowers,Light,8/5/2005,10000000,13744960,40744960
SF,Medium,Light,"PG-13 for language, intense action violence, disturbing images, and some thematic elements",Light,Fantastic Four,Medium,8/7/2015,120000000,56117548,167977596
SF,Medium,Light,"PG-13 for language, intense action violence, disturbing images, and some thematic elements",Light,Fantastic Four,Medium,7/8/2005,87500000,154696080,333132750
War Drama,Medium,None,R for strong war violence and brief language,None,The Great Raid,Heavy,8/12/2005,60000000,10166502,10597070
Science Fiction Adventure,Medium,Light,PG-13,Light,The Island,Heavy,7/22/2005,120000000,35818913,163018913
Science Fiction Adventure,Medium,Light,PG-13,Light,The Island,Heavy,6/13/1980,22000000,15716828,15716828
SF,Heavy,Light,PG-13,None,War Of The Worlds,Medium,6/29/2005,132000000,234280354,606836535
Sports Comedy,Light,None,PG for mild language and thematic elements,None,Rebound,Light,7/1/2005,45000000,16809014,17492014
Family,None,None,PG,None,Charlie And The Chocolate Factory,Light,7/15/2005,150000000,206459076,475825484
Horror,Medium,Medium,R,Heavy,High Tension,Heavy,6/10/2005,2850000,3681066,6435262
Action,Heavy,Light,PG-13,Medium,Mr. And Mrs. Smith,Heavy,6/10/2005,110000000,186336279,486124090
Drama,Heavy,None,Not Rated by MPAA,Light,Funny Ha Ha,Light,4/29/2005,30000,77070,82698
Drama,Heavy,Light,R,Light,Yes,Light,6/24/2005,1700000,396035,661221
Documentary,Heavy,Medium,R,Medium,Murderball,Light,7/8/2005,350000,1531154,1772979
Comedy,Heavy,None,"PG-13 for crude and sexual humor, violence, language, and drug references",Light,The Longest Yard,Light,5/27/2005,82000000,158119460,191558505
Comedy,Medium,None,PG-13 for some innuendo and rude humor,Light,The Honeymooners,Light,6/10/2005,27000000,12834849,13174426
Documentary,Light,Light,PG,Light,Mad Hot Ballroom,None,5/13/2005,500000,8117961,9387581
Documentary,Medium,Light,PG-13,Light,Rize,Light,6/24/2005,700000,3278611,4857731
Thriller,Light,None,"PG-13 for intense action violence, disturbing images and some thematic elements",None,Batman Begins,Medium,6/15/2005,150000000,205343774,359142722
Comedy,Light,Light,PG,Light,The Perfect Man,Light,6/17/2005,10000000,16535005,19535005
Horror,Heavy,Light,"R for horror violence, some sexual content and language",Medium,House Of Wax,Heavy,5/6/2005,35000000,32064800,70064800
Horror,Heavy,Light,"R for horror violence, some sexual content and language",Medium,House Of Wax,Heavy,4/10/1953,658000,23800000,23800000
Thriller,Heavy,Medium,R,Medium,Mindhunters,Heavy,5/13/2005,27000000,4476235,16566235
Drama,Medium,Medium,R,Medium,Saving Face,Light,5/27/2005,2500000,1187266,1269705
Action,Heavy,None,PG-13,Light,Xxx: State Of The Union,Heavy,4/29/2005,60000000,26873932,71073932
Drama,Heavy,None,PG-13,Light,House Of D,None,4/15/2005,2000000,388532,466106
Comedy,Heavy,None,PG-13 for sex references and language,Light,Monster-In-Law,Light,5/13/2005,45000000,82931301,155931301
Comedy,Medium,Medium,PG-13,Medium,A Lot Like Love,None,4/22/2005,25000000,21835784,41921590
Drama,Heavy,Light,PG-13,None,Cinderella Man,Medium,6/3/2005,88000000,61649911,105021488
Family,Light,None,PG,None,Madagascar,Light,5/27/2005,75000000,193595521,556559566
Supernatural Horror,Medium,Medium,R,Medium,The Amityville Horror,Heavy,4/15/2005,18500000,65233369,109175673
Gangster Thriller,Heavy,Medium,R,Medium,Layer Cake,Heavy,5/13/2005,6500000,2339957,11745931
Drama,Heavy,Medium,R,Heavy,The Ballad Of Jack And Rose,Light,3/25/2005,1500000,712294,1126258
Comedy,Medium,None,"PG-13 for crude and sexual humor, and some sensuality",Light,Fever Pitch,Light,4/8/2005,40000000,42071069,50071069
Comedy,Heavy,Light,PG-13,Light,Beauty Shop,Light,3/30/2005,25000000,36351350,38351350
Drama,Medium,None,PG-13,None,Madison,Light,4/22/2005,15500000,517262,517262
Comedy,Light,None,PG-13 for sex-related humor,Light,Miss Congeniality 2: Armed And Fabulous,Light,3/24/2005,60000000,48478006,101382396
Drama,Medium,None,PG,None,The Game Of Their Lives,None,4/22/2005,20000000,375474,375474
Action,Medium,Light,PG-13,None,Sahara,Medium,4/8/2005,145000000,68671925,121671925
Thriller,Light,Light,PG-13,None,The Interpreter,Medium,4/22/2005,90000000,72708161,162753837
Thriller,Heavy,Medium,R,Heavy,Oldboy,Heavy,3/25/2005,3000000,707391,6239723
Horror,Light,Light,PG-13,None,The Ring Two,Medium,3/18/2005,50000000,75941727,161941727
Thriller,Heavy,Medium,R,Heavy,Sin City,Heavy,4/1/2005,40000000,74103820,158527918
Horror,Heavy,Medium,"PG-13 for horror violence/terror, some sexual references, nudity, language and a brief drug reference",Light,Cursed,Medium,2/25/2005,35000000,19294901,25114901
Comedy,Heavy,Light,"PG-13 for violence, sensuality, and language including sexual references",Light,Be Cool,Medium,3/4/2005,75000000,55849401,94944017
Thriller,Light,Medium,"R for violence, language and brief sexuality/nudity",Medium,The Jacket,Medium,3/4/2005,28500000,6301131,15452978
Comedic Drama,Heavy,None,R,Medium,The Upside Of Anger,Light,3/11/2005,12000000,18761993,28915761
Drama,Medium,None,PG-13 for language,Light,Dear Frankie,None,3/4/2005,4600000,1340891,3099369
Comedy,Medium,Medium,PG-13,Medium,Saint Ralph,None,8/5/2005,5200000,795126,1695126
Comedy,Heavy,None,PG-13,Light,Diary Of A Mad Black Woman,Light,2/25/2005,5500000,50406346,50458356
Comedy,Medium,None,PG-13,Light,Guess Who,Light,3/25/2005,35000000,68915888,102115888
Animation,Light,None,PG-13,None,Steamboy,Medium,3/18/2005,20000000,468867,10468867
Comedy,Light,Light,"PG for action violence, language and rude humor",None,The Pacifier,Light,3/4/2005,56000000,113006880,198006880
Drama,Light,None,G,None,Ice Princess,None,3/18/2005,25000000,24381334,25732334
Animated,Light,None,PG,None,Robots,Medium,3/11/2005,80000000,128200012,260700012
Science Fiction,Medium,Light,R,None,Constantine,Heavy,2/18/2005,75000000,75976178,221594911
Comedy,Light,None,"PG for action, crude and suggestive humor, and language",Light,Son Of The Mask,Medium,2/18/2005,100000000,17018422,59918422
Horror,Light,Light,PG-13,Light,Boogeyman,Medium,2/4/2005,20000000,46752382,67192859
Comedy,Medium,Medium,PG-13,Medium,The Wedding Date,Light,2/4/2005,15000000,31726995,47175038
Comedy,Heavy,Light,PG-13,Medium,Hitch,Light,2/11/2005,55000000,177784257,366784257
Family,Light,None,PG,None,Because Of Winn-Dixie,Light,2/18/2005,15000000,32647042,33508485
Science Fiction,Heavy,Light,R,Light,Alone In The Dark,Heavy,1/28/2005,20000000,5178569,8178569
Horror,Light,None,PG-13,Light,Hide And Seek,Heavy,1/28/2005,25000000,51100486,123696741
Police Thriller,Heavy,None,"R for strong violence and language throughout, and for some drug content",Light,Assault On Precinct 13,Heavy,1/19/2005,30000000,20040895,36040895
Thriller,Heavy,Light,R,Light,Hostage,Heavy,3/11/2005,75000000,34636443,77636443
Drama,Heavy,Light,"PG-13 for violence, sexual content, language, teenage partying, and some drug material",Light,Coach Carter,Light,1/14/2005,45000000,67264877,76665507
Comedy,Light,None,PG,Light,Are We There Yet?,Medium,1/21/2005,20000000,82674398,98114471
Horror,Medium,None,PG-13,None,White Noise,Medium,1/7/2005,10000000,56094360,92094360
Fantasy,Medium,Light,PG-13,Light,Elektra,Heavy,1/14/2005,65000000,24409722,56824633
Comedy,Light,None,PG,None,Racing Stripes,Light,1/14/2005,30000000,49772522,89955540
Heist Thriller,Heavy,Light,PG-13,Light,After The Sunset,Light,11/12/2004,57000000,28328132,38329114
Drama,Medium,Medium,R,Medium,Alfie,None,11/5/2004,40000000,13395939,35195939
Drama,Heavy,None,Not Yet Rated,None,Beyond The Sea,None,12/17/2004,24000000,6144806,8292914
Animated Fantasy,None,None,G,None,The Polar Express,Light,11/10/2004,170000000,186493587,310634169
Action Adventure,Light,None,PG,None,National Treasure,Light,11/19/2004,100000000,173005002,331323410
Thriller,Medium,Light,PG-13,None,The Forgotten,Medium,9/24/2004,50000000,66711892,117211892
Drama,Heavy,Light,PG-13,Light,Friday Night Lights,Medium,10/8/2004,30000000,61255921,61950770
Comedy,Light,None,"PG for language, sexual situations and alcohol-related material",Light,First Daughter,None,9/24/2004,30000000,9055010,10419084
Science Fiction Thriller,Light,None,PG-13,None,Primer,Light,10/8/2004,7000,424760,841926
Drama,Light,None,R,Medium,Woman Thou Art Loosed,Medium,10/1/2004,3000000,6879730,6879730
Musical,Light,None,PG,None,Raise Your Voice,Light,10/8/2004,15000000,10411980,14811980
Animated,Light,None,PG,None,The Incredibles,Medium,11/5/2004,92000000,261441092,614726752
Thriller,Medium,Light,PG-13 for sexuality and language,Light,Wicker Park,None,9/3/2004,30000000,13001257,21577076
Comedy,Heavy,Light,"PG-13 for drug content, sexual references and language",Light,The Cookout,Light,9/3/2004,16000000,11540112,11540112
Comedy,Heavy,Light,PG-13 for sexual content and language,Medium,Mr. 3000,None,9/17/2004,30000000,21800302,21827296
Comedy,Heavy,Light,PG-13,Medium,Wimbledon,Light,9/17/2004,35000000,16862585,41666476
Action Thriller,Heavy,None,"PG-13 for action violence, scary images and some language",Light,Anacondas: The Hunt For The Blood Orchid,Medium,8/27/2004,25000000,31526393,70326393
Action,Heavy,None,,Light,Cellular,Medium,9/10/2004,45000000,32003620,61475984
Drama,Heavy,Light,R,Light,Mean Creek,Light,8/20/2004,500000,603951,1348750
Drama,Light,Light,PG-13 for some sensuality/partial nudity and a brief violent image,Light,Vanity Fair,Light,9/1/2004,23000000,16123851,19123851
Comedy,Medium,None,PG,None,Superbabies: Baby Geniuses 2,Light,8/27/2004,20000000,9109322,9355369
Science Fiction,Light,None,PG,None,Sky Captain And The World Of Tomorrow,Light,9/17/2004,70000000,37760080,49730854
Action,Medium,Light,PG-13 for intense fire and rescue situations and for language,Light,Ladder 49,Medium,10/1/2004,60000000,74541707,102332848
Animated Comedy,Light,None,PG for some mild language and crude humor,Light,Shark Tale,Light,10/1/2004,75000000,161412000,371917043
Drama,Heavy,None,R,Light,Criminal,Light,4/15/2016,31500000,14708696,38771262
Thriller,Heavy,Medium,R,Light,Suspect Zero,Medium,8/27/2004,27000000,8712564,8712564
Supernatural Horror,Medium,Light,R,Medium,Exorcist: The Beginning,Heavy,8/20/2004,78000000,41814863,43957541
Comedy,Medium,None,PG-13,Medium,Little Black Book,Light,8/6/2004,30000000,20422207,21758371
Documentary,Medium,Light,PG-13,None,Riding Giants,Light,7/9/2004,2600000,2276368,3292333
Drama,None,None,PG,None,Finding Neverland,Light,11/12/2004,25000000,51676606,115036108
Thriller,Heavy,Heavy,R,None,Open Water,Medium,8/6/2004,500000,30500882,55518641
Psychological Horror,None,None,PG-13 for a scene of violence and frightening situations,None,The Village,Medium,7/30/2004,71682975,114197520,257641634
Musical,Heavy,Light,PG-13,Medium,De-Lovely,Light,6/25/2004,15000000,13337299,18524496
Thriller,Medium,Light,PG-13,Light,The Bourne Supremacy,Medium,7/23/2004,85000000,176087450,288587450
Science Fiction,Medium,Light,PG-13 for intense stylized action and brief partial nudity,None,"I, Robot",Medium,7/16/2004,105000000,144801023,348629585
Action,Heavy,None,R for violence and language,None,Collateral,Heavy,8/6/2004,60000000,100170152,217670152
Action,Light,None,PG for intense action sequences and language,None,Thunderbirds,Light,7/30/2004,55000000,6768055,28231444
Comedy,Light,None,PG for mild language and innuendo,None,A Cinderella Story,Light,7/16/2004,19000000,51438175,70164105
Comedy,None,None,G,None,The Princess Diaries 2: Royal Engagement,Light,8/11/2004,45000000,95149435,122071435
Action,Medium,Light,"PG-13 for intense battle sequences, a scene of sensuality, and some foul language",Light,King Arthur,Medium,7/7/2004,90000000,51877963,203877963
Drama,None,Medium,PG-13,Medium,The Notebook,Light,6/25/2004,30000000,81001787,116025023
Drama,Medium,None,R,Light,Maria Full Of Grace,Medium,7/16/2004,3200000,6529624,14441158
Comedy,Light,None,PG-13,None,Napoleon Dynamite,Light,6/11/2004,400000,44540956,46122713
Comedy,Light,Light,PG,None,Around The World In 80 Days,Medium,6/16/2004,110000000,24004159,72004159
Comedy,Light,Light,PG,None,Around The World In 80 Days,Medium,10/17/1956,6000000,42000000,42000000
